iteration, obj, obj_qp, obj_lp, obj_decoded, rho
1806,-3135.9,-3135.3,-3136.3,-3136,0.3375
1808,-3136,-3135.4,-3136.3,-3136,0.3375
1810,-3136,-3135.5,-3136.3,-3136,0.3375
1812,-3136.1,-3135.5,-3136.4,-3136,0.3375
1814,-3136.1,-3135.6,-3136.4,-3136,0.3375
1816,-3136.1,-3135.6,-3136.4,-3136,0.3375
1818,-3136.1,-3135.6,-3136.4,-3136.5,0.3375
1820,-3136.1,-3135.7,-3136.4,-3136.7,0.3375
1822,-3136.2,-3135.7,-3136.4,-3136.7,0.3375
1824,-3136.2,-3135.8,-3136.4,-3136.7,0.3375
1825,-3136.2,-3135.8,-3136.4,-3136.7,0.3375
1826,-3136.2,-3135.9,-3136.4,-3136.7,0.3375
1827,-3136.2,-3135.9,-3136.4,-3136.7,0.3375
1828,-3136.2,-3135.9,-3136.4,-3136.7,0.3375
1829,-3136.3,-3136,-3136.4,-3136.7,0.3375
1830,-3136.3,-3136,-3136.4,-3136.7,0.3375
1831,-3136.3,-3136.1,-3136.4,-3136.7,0.3375
1832,-3136.3,-3136.1,-3136.4,-3136.7,0.3375
1833,-3136.3,-3136.2,-3136.5,-3136.7,0.3375
1834,-3136.4,-3136.2,-3136.5,-3136.7,0.3375
1835,-3136.4,-3136.2,-3136.5,-3136.7,0.3375
1836,-3136.4,-3136.3,-3136.5,-3136.7,0.3375
1837,-3136.4,-3136.3,-3136.5,-3136.7,0.3375
1838,-3136.5,-3136.4,-3136.5,-3136.7,0.3375
1839,-3136.5,-3136.4,-3136.5,-3136.7,0.3375
1840,-3136.5,-3136.5,-3136.5,-3136.7,0.3375
1841,-3136.5,-3136.5,-3136.5,-3136.7,0.3375
1842,-3136.5,-3136.5,-3136.6,-3136.7,0.3375
1844,-3136.5,-3136.5,-3136.6,-3136.7,0.50625
1845,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1846,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1847,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1848,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1849,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1850,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1851,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1852,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1853,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1854,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1855,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1856,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1857,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1858,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1859,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1860,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1861,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1862,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
1863,-3136.6,-3136.6,-3136.6,-3136.7,0.50625
